NCT Number,Sponsor,Study Title,Interventions,developed_drug,drug_classification,classification_reason,classification_confidence,verification_status,needs_manual_review
NCT04255329,"University Hospital, Montpellier",Non Verbal Communication and Dementia,OTHER: Montessori reading roundtable|OTHER: Usual reading,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03538522,"Biomed Industries, Inc.","A Double-Blind, Placebo-Controlled Safety and Efficacy Study of NA-831",DRUG: N-831(Traneurocin) 10 mg QD|DRUG: NA-831 (Traneurocin) 20 mg QD|DRUG: NA-831 (Traneurocin) 40 mg QD|DRUG: Placebo oral capsule QD,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01772537,Johns Hopkins University,The Effects of Anesthesia on Patients Undergoing Surgery for Repair of a Thoracoabdominal Aneurysm.,DRUG: Propofol|DRUG: isoflurane,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01640275,Duke University,Markers of Alzheimers Disease After Propofol or Isoflurane Anesthesia,DRUG: Propofol|DRUG: Isoflurane,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01227564,Pfizer,Amyloid Imaging And Safety Study Of ACC-001 In Subjects With Early Alzheimer's Disease,BIOLOGICAL: ACC-001 3 μg/ QS-21 50 μg|BIOLOGICAL: ACC-001 10 μg/ QS-21 50 μg|OTHER: Placebo- Phosphate buffered saline (PBS),ACC-001 3 μg/ QS-21 50 μg; ACC-001 10 μg/ QS-21 50 μg,investigational_therapeutic_unverified,multiple unverified investigational candidates found (ACC-001 3 μg/ QS-21 50 μg; ACC-001 10 μg/ QS-21 50 μg) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00453544,"University of California, San Diego",Enhancing Consent for Alzheimer's Research,OTHER: Enhanced Consent Procedure|OTHER: Routine Consent Procedure,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03397667,Indiana University,The Aging Brain ANSWERS Program,OTHER: ABC ANSWERS|OTHER: Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06245616,Spanish National Research Council,Attenuation of Postprandial Inflammatory Processes in Alzheimer's Disease Patients by Consumption of Pomace Oil,DIETARY_SUPPLEMENT: Consumption of olive pomace olive oil by alzheimer's patients|DIETARY_SUPPLEMENT: Consumption of high-oleic sunflower oil by alzheimer's patients,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02553928,H. Lundbeck A/S,Comparison of Once Daily and Twice Daily Dosing on Safety and Tolerability of Memantine in Patients With Alzheimer,DRUG: Memantine (once daily)|DRUG: Memantine (twice daily),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02054208,Medipost Co Ltd.,Safety and Exploratory Efficacy Study of NEUROSTEM® Versus Placebo in Patients With Alzheimer's Disease,BIOLOGICAL: human umbilical cord blood derived mesenchymal stem cells|OTHER: Normal saline 2mL,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05169008,CanSino Biologics Inc.,A Study to Evaluate the Safety and Immunogenicity of Ad5-nCoV and Ad5-nCoV-IH in CoronaVac Immunized Children and Adolescents,BIOLOGICAL: Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector)|BIOLOGICAL: Recombinant COVID-19 vaccine (adenovirus type 5 vector) for Inhalation (Ad5-nCoV-IH),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05462106,AC Immune SA,A Study to Assess the Effects of ACI-24.060 in Alzheimer's Disease and in Down Syndrome (ABATE Study),BIOLOGICAL: Placebo (Study Part 1a)|BIOLOGICAL: ACI-24.060 at Dose A in Study Part 1a|BIOLOGICAL: ACI-24.060 at Dose B in Study Part 1a|BIOLOGICAL: ACI-24.060 at Dose C in Study Part 1a|BIOLOGICAL: ACI-24.060 with an additional adjuvant at Dose D in Study Part 1b|BIOLOGICAL: Placebo (Study Part 2)|BIOLOGICAL: ACI-24.060 at Dose A in Study Part 2|BIOLOGICAL: ACI-24.060 at Dose B in Study Part 2|BIOLOGICAL: ACI-24.060 at Dose C in Study Part 2|BIOLOGICAL: Placebo (Study Part 1b)|BIOLOGICAL: ACI-24.060 with an additional adjuvant at Dose E in Study Part 1b,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01297036,Korea University Anam Hospital,Pharmacokinetic Comparisons of Two Donepezil Formulations,"DRUG: Donepezil, ODT 10 mg|DRUG: Donepezil, 10 mg tablet",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03617497,Universitaire Ziekenhuizen KU Leuven,Prevalence of Epilepsy and Sleep Wake Disorders in Alzheimer Disease,DIAGNOSTIC_TEST: scalp EEG and polysomnography|DIAGNOSTIC_TEST: scalp EEG with foramen ovale electrodes with polysomnography,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03824197,Auburn University,Auburn University Research on Olive Oil for Alzheimer's Disease (AU-ROOAD),OTHER: EVOO|OTHER: OO,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02463084,Wake Forest University Health Sciences,Macronutrient Effects on Alzheimer's Disease (MEAL-2),OTHER: Low Diet|OTHER: High Diet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03058965,Molecular NeuroImaging,Phase 0 Evaluation of [18F]MNI-958 as a Potential PET Radioligand for Imaging Tau Protein in the Brain,DRUG: [18F]MNI-958|DRUG: [18F]Florbetapir|DRUG: DaTscan,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00439166,Hamilton Health Sciences Corporation,Effects of Doxycycline and Rifampicin on Biomarkers of Alzheimer's Disease in the Cerebrospinal Fluid,DRUG: doxycycline|DRUG: rifampicin|DRUG: Placebo matched to doxycycline|DRUG: Placebo matched to Rifampin,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06459583,Banner Health,Evaluation of Self-Mediated Alternatives for Risk Testing Education and Return of Results,OTHER: eHealth Platform|OTHER: Videoconference Telehealth Platform,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00254033,Sunnybrook Health Sciences Centre,Apathy Associated With Alzheimer's Disease,DRUG: Dextroamphetamine|DRUG: Methylphenidate,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01038726,The Cleveland Clinic,Effects of Exercise and Cognitive Training on Cognitive Function in Older Adults,OTHER: Exercise Training|OTHER: Cognitive Training|OTHER: Flexibility Training|OTHER: Educational Sessions,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01993836,Duke University,Markers of Alzheimers Disease and Cognitive Outcomes After Perioperative Care,DRUG: Total intravenous anesthesia with propofol|DRUG: General anesthesia with isoflurane,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05642052,Université de Sherbrooke,Feasibility Study of a Community Pilot Project for the Prevention of Alzheimer's Disease: the KetoHome Study.,DIETARY_SUPPLEMENT: low carb diet|DIETARY_SUPPLEMENT: Regular diet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07673263,Ziauddin University,Effects of X Box Kinect 360 in Alzheimer's Disease,OTHER: 3D Kinect based game|OTHER: Conventional therapy group,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04229186,University of Bari Aldo Moro,"Pilot Study About Extra Virgin Olive Oil ""Coratina"" in Mild Cognitive Impairment and Alzheimer's Disease Patients",DIETARY_SUPPLEMENT: EVOO-C|DIETARY_SUPPLEMENT: ROO,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05081219,Wake Forest University Health Sciences,SNIFF - Combo INI+EMPA Trial,DRUG: Insulin (Humulin® R U-100)|DRUG: Empagliflozin 10 MG|DEVICE: Aptar Pharma CPS Intranasal Delivery Device|DRUG: Placebo (Insulin Diluent)|DRUG: Placebo (Capsules),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06083350,Xiaofan Xu,Effects of Yeast Beta-glucan on Cognitive Function in Patients With Mild Cognitive Impairment,DIETARY_SUPPLEMENT: Yeast beta-glucan|DIETARY_SUPPLEMENT: Starch,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01584440,Avanir Pharmaceuticals,"Efficacy, Safety and Tolerability Study of AVP-923 (Dextromethorphan/Quinidine) for Treatment of Symptoms of Agitation in Participants With Alzheimer's Disease",DRUG: AVP-923-20|DRUG: Placebo|DRUG: AVP-923-30,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07775625,Northwestern University,Central Auditory Processing Modulation Underlying Anxiety Reduction Using Clinically Designed Improvisatory Music,OTHER: Clinically Designed Improvisatory Music|OTHER: Listening to Storytelling,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00369603,Duke University,Functional Brain Imaging of Medication Treatment Response in Mild Alzheimer's Disease Patients,DRUG: Razadyne ER|DRUG: Aricept,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06896201,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Comfortage - AD Prevention Strategies,"DIAGNOSTIC_TEST: Neuropsychological Assessments and Other Questionnaires|BIOLOGICAL: Blood Exams, Fluid Biomarkers, Genetics|OTHER: Connectivity Analysis|DEVICE: Physical Activity|DEVICE: Healthentia|DEVICE: Eligence|OTHER: Nutrition",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02267057,University of Bergen,Efficacy of Pain Treatment on Depression in Patients With Dementia,DRUG: Paracetamol|DRUG: Buprenorphine|DRUG: Paracetamol placebo|DRUG: Buprenorphine placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04780399,"Dongzhimen Hospital, Beijing",Efficacy and Safety of Yangxue Qingnao Pills in the Treatment of Mild to Moderate Alzheimer's Disease,DRUG: Yangxue Qingnao pills|DRUG: Yangxue Qingnao pills|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00574132,"JANSSEN Alzheimer Immunotherapy Research & Development, LLC",Bapineuzumab in Patients With Mild to Moderate Alzheimer's Disease (ApoE4 Non-Carrier),DRUG: Bapineuzumab 0.5 mg/kg|DRUG: Placebo Control|DRUG: Bapineuzumab 1.0 m/kg,Bapineuzumab; Bapineuzumab 1.0 m/kg,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Bapineuzumab; Bapineuzumab 1.0 m/kg) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT07210528,"National University Hospital, Singapore",Safety Of Nrtis for Alzheimer's Therapeutic Advancement in Singapore Study,"DRUG: Emtricitabine (FTC)|DRUG: Descovy® (TAF/FTC)|DRUG: Placebo to Match Emtricitabine 200mg/Tenofovir Alafenamide 25 mg.|DRUG: Placebo Capsules to Match Emtricitabine Capsules, 200mg.",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02168920,"Otsuka Pharmaceutical Co., Ltd.",Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,DRUG: 2 mg/day|DRUG: 3 mg/day|DRUG: 6 mg/day|DRUG: Placebo (0 mg/day),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02467413,"Botanicure Co., Ltd.",BAC in Patient With Alzheimer's Disease or Vascular Dementia,DRUG: BAC|OTHER: BAC Matched Vehicle,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01837641,Eli Lilly and Company,A Study of LY3002813 in Participants With Alzheimer's Disease,BIOLOGICAL: LY3002813-IV|BIOLOGICAL: LY3002813-SC|DRUG: Placebo-IV,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01554202,"University Hospital, Caen",Multi-modal Neuroimaging in Alzheimer's Disease,BEHAVIORAL: assessment of memory|BIOLOGICAL: circulating tPA dosage|GENETIC: ApoE4|OTHER: Brain imaging examination MRI and PET examinations,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07432997,Applied Cognition,Pharmacological Enhancement of Glymphatic Function in Humans,DRUG: Dexmedetomidine|DRUG: Dexmedetomidine and Midodrine|OTHER: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06600880,Columbia University,Neuronavigation-guided FUS-induced BBB Opening in Alzheimer's Disease Patients and Its Effects on Brain Amyloid and Tau,DEVICE: Neuronavigation-guided single-element focused ultrasound transducer|DRUG: Lumason|OTHER: Magnetic Resonance Imaging (MRI) with or without gadolinium contrast agents|RADIATION: Positron Emission Tomography (PET)|DRUG: Amyvid|DRUG: MK-6240|DRUG: Dotarem|DIAGNOSTIC_TEST: Blood draw|DEVICE: UR5e|DIAGNOSTIC_TEST: Urine test,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02130661,GlaxoSmithKline,Study to Determine the Effect of Itraconazole on the Pharmacokinetics of Rilapladib (SB659032) in Healthy Volunteers,DRUG: Rilapladib 25 mg|DRUG: Rilapladib 250 mg|DRUG: Itraconazole,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06127368,"G2GBio, Inc.","Dose-Escalation Study to Assess the Safety, Tolerability, and Pharmacokinetics From Single Dose of Intramuscular (IM) and Subcutaneous (SC) Donepezil (GB-5001) Injections Versus Donepezil Oral Tablet (Aricept®) in Healthy Male Volunteers",DRUG: GB-5001A|DRUG: GB-5001D|DRUG: Oral cohort,GB-5001A; GB-5001D,investigational_therapeutic_unverified,multiple unverified investigational candidates found (GB-5001A; GB-5001D) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT06501495,Assistance Publique - Hôpitaux de Paris,Links Between Cognitive Deficits During Normal or Pathological Aging and Slow Waves Measured in EEG,OTHER: video polysomnography|OTHER: Attention task,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02709356,Université de Sherbrooke,Medium Chain Triglycerides and Brain Metabolism in Alzheimer's Disease,DIETARY_SUPPLEMENT: 1-month of 60-40 MCT oil|DIETARY_SUPPLEMENT: 1-month of C8 MCT oil,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05094271,"University of California, San Diego",Is Obstructive Sleep Apnea Important in the Development of Alzheimer's Disease?,OTHER: Supplemental Oxygen|DEVICE: Continuous Positive Airway Pressure Machine|OTHER: Room Air,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03075241,Brasilia University Hospital,Z-Drugs for Sleep Disorders in Alzheimer's Disease,DRUG: Zolpidem|DRUG: Zoplicone|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05332678,"Seelos Therapeutics, Inc.",SLS-005 (Trehalose Injection) in the Treatment of Alzheimer's Disease,DRUG: SLS-005 - Once Weekly|DRUG: SLS-005 - Twice Weekly,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT04390646,Nelly Pitteloud,GnRH Therapy on Cognition in Down Syndrome,"DRUG: GnRH, gonadorelin acetate|DRUG: 0.9% NaCl",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00575055,"JANSSEN Alzheimer Immunotherapy Research & Development, LLC",Bapineuzumab in Patients With Mild to Moderate Alzheimer's Disease (ApoE4 Carrier),DRUG: Bapineuzumab 0.5 mg/kg|DRUG: Placebo Control|DRUG: Bapineuzumab 1.0 m/kg,Bapineuzumab; Bapineuzumab 1.0 m/kg,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Bapineuzumab; Bapineuzumab 1.0 m/kg) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT03887455,Eisai Inc.,A Study to Confirm Safety and Efficacy of Lecanemab in Participants With Early Alzheimer's Disease,DRUG: Lecanemab IV|DRUG: Placebo|DRUG: Lecanemab SC,Lecanemab IV; Lecanemab SC,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Lecanemab IV; Lecanemab SC) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT03226522,"Axsome Therapeutics, Inc.",Addressing Dementia Via Agitation-Centered Evaluation,DRUG: AXS-05|DRUG: Bupropion|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01009359,Bayer,"Evaluation of the Neuroinflammation Pattern of BAY85-8102 F-18, DPA-714 in Probable Alzheimers Disease Patients Versus Healthy Volunteers and Radiation Dosimetry of F 18, DPA-714 in Healthy Volunteers",DRUG: F-18 DPA-714 (BAY85-8102)|DRUG: F-18 DPA-714 (BAY85-8102)|DRUG: F-18 DPA-714 (BAY85-8102),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01025466,Inha University Hospital,Exelon Patch and Combination With Memantine Comparative Trial,"DRUG: Rivastigmine transdermal patch (Exelon patch), memantine|DRUG: Rivastigmine transdermal patch",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02064920,Merck Sharp & Dohme LLC,Computerized Cognition Testing in Participants With Mild Alzheimer's Disease (AD) Treated With Donepezil (MK-0000-318),DRUG: Placebo|DRUG: Donepezil|DRUG: Donepezil,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05811442,Beijing Joekai Biotechnology LLC,Study of 50561 in Patients With Mild or Moderate Alzheimer's Disease,DRUG: 50561 high dose|DRUG: 50561 low dose|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00478205,Eisai Inc.,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,DRUG: Aricept (donepezil SR 23 mg)|DRUG: Aricept (donepezil IR 10 mg),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00948766,Novartis,"Effects of Rivastigmine Patch on Activities of Daily Living and Cognition in Patients With Severe Dementia of the Alzheimer's Type (ACTION) (Study Protocol CENA713DUS44, NCT00948766) and a 24 Week Open-label Extension to Study CENA713DUS44",DRUG: Rivastigmine 4.6 mg/24 h (5 cm^2)|DRUG: Rivastigmine 9.5 mg/24 h (10 cm^2)|DRUG: Rivastigmine 13.3 mg/24 h (15 cm^2)|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03069014,PharmatrophiX Inc.,Study of LM11A-31-BHS in Mild-moderate AD Patients,DRUG: 400mg LM11A-31-BHS|DRUG: 800mg LM11A-31-BHS|DRUG: Placebos,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03274817,NYU Langone Health,A Proof of Concept Study of the Prevention of Mild Cognitive Impairment and Eventual Alzheimer's Disease Using F18 Flutemetamol,DRUG: Escitalopram Pill|DRUG: Venlafaxine Pill|DRUG: Placebo Oral Tablet,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02263235,"University Hospital, Montpellier",In Vivo Alzheimer Proteomics,"BIOLOGICAL: administration of stable isotope-labelled leucine-|OTHER: collection of CSF, blood, urine, saliva",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00870519,Institute for Neurodegenerative Disorders,Brain Imaging Study in Subjects With Alzheimer Disease in Comparison to Healthy Subjects,DRUG: I-123-MNI-168|DRUG: 123-I MNI-168,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03506672,Centre de Recherche de l'Institut Universitaire de Geriatrie de Montreal,Assessing the Effectiveness of an Approach for Vocal Behaviors in Older People Living in Nursing Homes,OTHER: Approach based on the meanings of vocal behaviours|OTHER: Usual practices,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT01827982,"Janssen Research & Development, LLC","A Study to Investigate the Safety, Tolerability and Pharmacokinetics of JNJ-54861911 in Healthy Volunteers Compared With Placebo",DRUG: JNJ-54861911 1mg|DRUG: JNJ-54861911 3 mg|DRUG: JNJ-54861911 9 mg|DRUG: JNJ-54861911 27 mg|DRUG: JNJ-54861911 81 mg|DRUG: JNJ-54861911 160 mg|DRUG: JNJ-54861911 tbd|DRUG: JNJ-54861911 9 mg|DRUG: Placebo,JNJ-54861911; JNJ-54861911 tbd,investigational_therapeutic_unverified,multiple unverified investigational candidates found (JNJ-54861911; JNJ-54861911 tbd) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00141661,Pfizer,A Safety and Tolerability Evaluation of Two 10-Week Dose Regimens of Orally-Administered PF-04494700 in Alzheimer's Patients,DRUG: PF-04494700 - Low Dose Arm|DRUG: PF-04494700 - High Dose Arm|DRUG: Placebo Comparator,PF-04494700 - Low Dose Arm; PF-04494700 - High Dose Arm,investigational_therapeutic_unverified,multiple unverified investigational candidates found (PF-04494700 - Low Dose Arm; PF-04494700 - High Dose Arm) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT05331144,Rong Zhang,"Impact of Intensive Treatment of SBP on Brain Perfusion, Amyloid, and Tau (IPAT Study)","DRUG: Angiotensin II Receptor Blockers (ARBs, losartan) and Calcium Channel Blockers (CCB, amlodipine)|OTHER: PCP",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT06424652,Pennington Biomedical Research Center,Effect of Physiologic Insulin Administration on Cognition,OTHER: Blood draws|OTHER: Hyperinsulinemic Euglycemic Clamp Technique Insulin Sensitivity test|OTHER: Resting Metabolic Rate (RMR),,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT02593318,Russell Swerdlow,Trial of Oxaloacetate in Alzheimer's Disease (TOAD),DRUG: Oxaloacetate (OAA) 1g|DRUG: Oxaloacetate (OAA) 2g,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00088387,National Institute of Neurological Disorders and Stroke (NINDS),Effect of Lithium and Divalproex in Alzheimer's Disease,DRUG: Divalproex|DRUG: Lithium,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT03174938,Skane University Hospital,The Swedish BioFINDER 2 Study,"DIAGNOSTIC_TEST: Flutemetamol F18 Injection|DIAGNOSTIC_TEST: [18F]-RO6958948|DIAGNOSTIC_TEST: Elecsys (Roche) Abeta42, Ttau and Ptau|DIAGNOSTIC_TEST: Lumipulse (Fujirebio) Abeta42, Ttau and Ptau",,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT05397639,Suven Life Sciences Limited,Masupirdine for the Treatment of Agitation in Dementia of the Alzheimer's Type,DRUG: Masupirdine 50 mg|DRUG: Masupirdine 100 mg|DRUG: Placebo,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT07135245,Rune Skovgaard Rasmussen,Improved Treatment and Monitoring of Alzheimer's Disease,DRUG: Semaglutide (Rybelsus®) combined with other interventions|OTHER: Placebo|DRUG: Semaglutide (Rybelsus®),Semaglutide (Rybelsus®) combined with other interventions; Semaglutide (Rybelsus®),investigational_therapeutic_unverified,multiple unverified investigational candidates found (Semaglutide (Rybelsus®) combined with other interventions; Semaglutide (Rybelsus®)) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
NCT00742417,"Instituto Grifols, S.A.",Efficacy and Safety of Plasma Exchange With 5% Albumin in Beta-amyloid Peptide Clearance in Cerebral Spinal Fluid,BIOLOGICAL: Albutein 5%|OTHER: Control,,no_therapeutic_candidate,"no confirmed or investigational therapeutic candidate found, but this trial has unresolved/uncertain interventions worth a manual look",low,no_match,True
NCT00000176,National Institute on Aging (NIA),Alzheimer's Disease Prevention Trial,DRUG: Estrogen|DRUG: Estrogen and Progesterone,Estrogen; Estrogen and Progesterone,investigational_therapeutic_unverified,multiple unverified investigational candidates found (Estrogen; Estrogen and Progesterone) — could not resolve to a single drug,low,multiple_candidates_unresolved,True
