display_name,phase_reached,drug_type,target,status_summary,trial_count,max_enrollment,sponsor,is_aribio,verification_status,classification_confidence,needs_manual_review,confirmed_trial_count,unverified_trial_count
GC021109,Phase 1,Small Molecule,Other,Completed,1,39.0,"GliaCure, Inc.",False,no_match,medium,True,0,1
GSI 136,Phase 1,Small Molecule,Other,Completed,2,80.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,2
GSI-953,Phase 1,Small Molecule,Amyloid,Completed,3,96.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,3
GSK1034702,Phase 1,Small Molecule,Other,Completed,1,4.0,GlaxoSmithKline,False,no_match,medium,True,0,1
GSK2647544,Phase 1,Small Molecule,Inflammation,Completed,2,27.0,GlaxoSmithKline,False,no_match,medium,True,0,2
GSK2981710,Phase 1,Small Molecule,Other,Completed,1,116.0,GlaxoSmithKline,False,no_match,medium,True,0,1
GSK933776,Phase 1,Biologic,Amyloid,Completed,2,50.0,GlaxoSmithKline,False,no_match,medium,True,0,2
GSM-779690T,Phase 1,Small Molecule,Other,Recruiting,1,72.0,Acta Pharmaceuticals,False,no_match,medium,True,0,1
Galantamine and Donepezil,Phase 1,Small Molecule,Symptomatic,Completed,1,15.0,"University Hospital, Clermont-Ferrand",False,no_match,medium,True,0,1
Galcanezumab,Phase 1,Biologic,Other,Recruiting,1,10.0,"Xuanwu Hospital, Beijing",False,no_match,medium,True,0,1
Gemfibrozil,Phase 1,Small Molecule,Other,Completed,1,72.0,"Gregory Jicha, 323-5550",False,no_match,medium,True,0,1
HPP854,Phase 1,Small Molecule,Other,Discontinued,1,7.0,"High Point Pharmaceuticals, LLC.",False,no_match,medium,True,0,1
HTL0009936,Phase 1,Small Molecule,Symptomatic,Completed,2,108.0,Nxera Pharma UK Limited,False,no_match,medium,True,0,2
HTL0018318,Phase 1,Small Molecule,Other,Completed,1,60.0,Nxera Pharma UK Limited,False,no_match,medium,True,0,1
Human Nerve Growth Factor,Phase 1,Cell/Gene Therapy,Other,Completed,1,8.0,The Shiley Family Trust,False,no_match,medium,True,0,1
Human Umbilical Cord Blood Derived-Mesenchymal Stem Cells,Phase 1,Cell/Gene Therapy,Other,Completed,1,9.0,Medipost Co Ltd.,False,no_match,medium,True,0,1
I123MNI388/I123MNI390,Phase 1,Small Molecule,Other,Discontinued,1,2.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
IBC-Ab002,Phase 1,Biologic,Other,Completed,1,40.0,Immunobrain Checkpoint,False,no_match,medium,True,0,1
IGC AD1,Phase 1,Small Molecule,Other,Completed,1,12.0,"IGC Pharma, LLC",False,no_match,medium,True,0,1
ION269,Phase 1,Small Molecule,Other,Discontinued,1,1.0,"Ionis Pharmaceuticals, Inc.",False,no_match,medium,True,0,1
IONIS MAPTRx,Phase 1,Small Molecule,Tau,Completed,1,46.0,"Ionis Pharmaceuticals, Inc.",False,no_match,medium,True,0,1
Ibuprofen,Phase 1,Small Molecule,Inflammation,Unknown,1,40.0,National Institute on Aging (NIA),False,no_match,medium,True,0,1
Idalopirdine (Lu AE58054),Phase 1,Small Molecule,Other,Completed,1,16.0,H. Lundbeck A/S,False,no_match,medium,True,0,1
Idazoxan,Phase 1,Small Molecule,Other,Discontinued,1,2.0,Imperial College London,False,no_match,medium,True,0,1
Intravenous infusion of mononuclear cells from umbilical cord blood,Phase 1,Cell/Gene Therapy,Symptomatic,Recruiting,1,30.0,Anhui Provincial Hospital,False,no_match,medium,True,0,1
J147,Phase 1,Small Molecule,Other,Completed,1,64.0,"Abrexa Pharmaceuticals, Inc.",False,no_match,medium,True,0,1
J4,Phase 1,Small Molecule,Other,Recruiting,1,76.0,"Academia Sinica, Taiwan",False,no_match,medium,True,0,1
JNJ-39393406,Phase 1,Small Molecule,Symptomatic,Discontinued,1,47.0,"Janssen Pharmaceutica N.V., Belgium",False,no_match,medium,True,0,1
JNJ-40346527,Phase 1,Small Molecule,Inflammation,Discontinued,1,2.0,University of Oxford,False,no_match,medium,True,0,1
KHK6640,Phase 1,Small Molecule,Amyloid,Completed,3,57.0,"Kyowa Kirin Co., Ltd.",False,no_match,medium,True,0,3
LNK-754,Phase 1,Small Molecule,Other,Completed,1,110.0,Link Medicine Corporation,False,no_match,medium,True,0,1
LPS,Phase 1,Small Molecule,Inflammation,Completed,1,18.0,Yale University,False,no_match,medium,True,0,1
LY03017,Phase 1,Small Molecule,Other,Recruiting,3,60.0,Luye Pharma Group Ltd.,False,no_match,medium,True,0,3
LY03020,Phase 1,Small Molecule,Other,Recruiting,3,66.0,Luye Pharma Group Ltd.,False,no_match,medium,True,0,3
LY2811376,Phase 1,Small Molecule,Other,Completed,1,61.0,Eli Lilly and Company,False,no_match,medium,True,0,1
LY3303560 - IV,Phase 1,Small Molecule,Amyloid,Completed,1,22.0,Eli Lilly and Company,False,no_match,medium,True,0,1
LY3372993,Phase 1,Small Molecule,Other,Completed,2,139.0,Eli Lilly and Company,False,no_match,medium,True,0,2
LY3439539,Phase 1,Small Molecule,Other,Recruiting,1,30.0,Eli Lilly and Company,False,no_match,medium,True,0,1
LY3954068,Phase 1,Small Molecule,Tau,Recruiting,1,48.0,Eli Lilly and Company,False,no_match,medium,True,0,1
LY4006895,Phase 1,Small Molecule,Other,Recruiting,1,128.0,Eli Lilly and Company,False,no_match,medium,True,0,1
LYN-057,Phase 1,Small Molecule,Symptomatic,Completed,1,8.0,Lyndra Inc.,False,no_match,medium,True,0,1
Lecozotan,Phase 1,Small Molecule,Symptomatic,Completed,1,,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,1
Leucettinib-21,Phase 1,Small Molecule,Other,Completed,1,152.0,Perha Pharmaceuticals,False,no_match,medium,True,0,1
Longeveron Mesenchymal Stem Cells,Phase 1,Cell/Gene Therapy,Other,Completed,1,33.0,Longeveron Inc.,False,no_match,medium,True,0,1
Lu AF20513,Phase 1,Biologic,Amyloid,Discontinued,2,18.0,H. Lundbeck A/S,False,no_match,medium,True,0,2
Lu AF87908,Phase 1,Small Molecule,Other,Completed,1,86.0,H. Lundbeck A/S,False,no_match,medium,True,0,1
MK-0249,Phase 1,Small Molecule,Symptomatic,Discontinued,1,4.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,1
MK-1708,Phase 1,Small Molecule,Other,Completed,1,12.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,1
MK-4334,Phase 1,Small Molecule,Other,Discontinued,1,0.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,1
MK-8931,Phase 1,Small Molecule,Amyloid,Completed,3,32.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,3
MNI-513-01,Phase 1,Small Molecule,Other,Discontinued,1,6.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
N-hydroxy-N'-phenyl-octanediamide (Vorinostat),Phase 1,Small Molecule,Other,Discontinued,1,9.0,German Center for Neurodegenerative Diseases (DZNE),False,no_match,medium,True,0,1
NDX-1017,Phase 1,Small Molecule,Other,Completed,1,88.0,LeonaBio,False,no_match,medium,True,0,1
NGP 555,Phase 1,Small Molecule,Amyloid,Completed,2,40.0,NeuroGenetic Pharmaceuticals Inc,False,no_match,medium,True,0,2
NIO752,Phase 1,Small Molecule,Tau,Recruiting,2,38.0,"Novartis Pharmaceuticals; University College, London",False,no_match,medium,True,0,2
NMRA-323511,Phase 1,Small Molecule,Neuropsychiatric,Completed,1,87.0,"Neumora Therapeutics, Inc.",False,no_match,medium,True,0,1
NNI-362,Phase 1,Small Molecule,Other,Completed,1,56.0,"Neuronascent, Inc.",False,no_match,medium,True,0,1
NP001,Phase 1,Small Molecule,Inflammation,Discontinued,1,4.0,Beau Nakamoto,False,no_match,medium,True,0,1
NPT088,Phase 1,Small Molecule,Other,Completed,1,83.0,"Proclara Biosciences, Inc.",False,no_match,medium,True,0,1
NSA-789,Phase 1,Small Molecule,Other,Completed,1,24.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,1
NX210c,Phase 1,Small Molecule,Other,Completed,1,29.0,Axoltis Pharma,False,no_match,medium,True,0,1
Nerve Growth Factor,Phase 1,Small Molecule,Other,Unknown,1,6.0,NsGene A/S,False,no_match,medium,True,0,1
Neural Stem Cell-Derived Exosomes,Phase 1,Cell/Gene Therapy,Other,Recruiting,1,9.0,Shanghai Mental Health Center,False,no_match,medium,True,0,1
Nicotinamide riboside,Phase 1,Small Molecule,Metabolism,Completed,1,21.0,Mclean Hospital,False,no_match,medium,True,0,1
NirsCure with Lecanemab,Phase 1,Biologic,Amyloid,Recruiting,1,20.0,"Xuanwu Hospital, Beijing",False,no_match,medium,True,0,1
OLX-07010 Active,Phase 1,Small Molecule,Other,Active,1,76.0,"Oligomerix, Inc",False,no_match,medium,True,0,1
PAZ-417,Phase 1,Small Molecule,Other,Completed,2,56.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,2
PF-03654746,Phase 1,Small Molecule,Other,Discontinued,1,9.0,Pfizer,False,no_match,medium,True,0,1
PF-05212377,Phase 1,Small Molecule,Symptomatic,Completed,1,4.0,Pfizer,False,no_match,medium,True,0,1
PMN310,Phase 1,Small Molecule,Other,Active,1,144.0,"ProMis Neurosciences, Inc",False,no_match,medium,True,0,1
Phenserine,Phase 1,Small Molecule,Symptomatic,Completed,1,16.0,Helse Stavanger HF,False,no_match,medium,True,0,1
Plasma exchenge,Phase 1,Biologic,Other,Unknown,1,10.0,Oslo University Hospital,False,no_match,medium,True,0,1
Posiphen® tartrate,Phase 1,Small Molecule,Neuroprotection,Discontinued,1,5.0,Annovis Bio Inc.,False,no_match,medium,True,0,1
Pramlintide challenge test,Phase 1,Small Molecule,Other,Active,1,57.0,Boston University,False,no_match,medium,True,0,1
Preprocessed thawed donor FMT,Phase 1,Biologic,Other,Recruiting,1,10.0,University Hospital of North Norway,False,no_match,medium,True,0,1
Probiotic Blend,Phase 1,Small Molecule,Other,Recruiting,1,40.0,University of Nicosia,False,no_match,medium,True,0,1
Protollin,Phase 1,Small Molecule,Other,Completed,1,16.0,Brigham and Women's Hospital,False,no_match,medium,True,0,1
QLH2405,Phase 1,Small Molecule,Other,Recruiting,1,68.0,"Qilu Pharmaceutical Co., Ltd.",False,no_match,medium,True,0,1
REM0046127,Phase 1,Small Molecule,Other,Completed,1,77.0,reMYND,False,no_match,medium,True,0,1
RGN1016,Phase 1,Small Molecule,Other,Unknown,1,80.0,National Taiwan University Hospital,False,no_match,medium,True,0,1
RO7105705,Phase 1,Small Molecule,Tau,Completed,1,74.0,"Genentech, Inc.",False,no_match,medium,True,0,1
RO7812653,Phase 1,Small Molecule,Other,Recruiting,1,50.0,Hoffmann-La Roche,False,no_match,medium,True,0,1
RSG,Phase 1,Small Molecule,Metabolism,Completed,1,50.0,GlaxoSmithKline,False,no_match,medium,True,0,1
Radiopharmaceuticals,Phase 1,Small Molecule,Tau,Completed,1,18.0,"University of California, Berkeley",False,no_match,medium,True,0,1
Rapamune,Phase 1,Small Molecule,Other,Completed,1,10.0,The University of Texas Health Science Center at San Antonio,False,no_match,medium,True,0,1
Recognized pharmacological treatments for AD.,Phase 1,Small Molecule,Other,Recruiting,1,98.0,Chinese PLA General Hospital,False,no_match,medium,True,0,1
Recombinant Human Serum Albumin,Phase 1,Small Molecule,Other,Completed,1,30.0,Protgen Ltd,False,no_match,medium,True,0,1
Retinal fundus photography,Phase 1,Non-Drug/Behavioral,Other,Completed,1,80.0,Mayo Clinic,False,no_match,medium,True,0,1
SAM-315,Phase 1,Small Molecule,Other,Completed,3,56.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,3
SAM-531 and gemfibrozil,Phase 1,Small Molecule,Symptomatic,Completed,1,17.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,1
SAR228810,Phase 1,Small Molecule,Amyloid,Completed,1,48.0,Sanofi,False,no_match,medium,True,0,1
SNP318 (A),Phase 1,Small Molecule,Other,Completed,1,76.0,SciNeuro,False,no_match,medium,True,0,1
SRA-444,Phase 1,Small Molecule,Other,Completed,2,64.0,Wyeth is now a wholly owned subsidiary of Pfizer,False,no_match,medium,True,0,2
Salsalate,Phase 1,Small Molecule,Other,Completed,1,40.0,Adam Boxer,False,no_match,medium,True,0,1
Salvia officinalis (sage),Phase 1,Small Molecule,Other,Completed,1,111.0,Oregon Health and Science University,False,no_match,medium,True,0,1
Stem Cell Therapy - Experimental,Phase 1,Cell/Gene Therapy,Other,Recruiting,1,600.0,"Noah Tech, Corp.",False,no_match,medium,True,0,1
Sustiva Pill,Phase 1,Small Molecule,Other,Completed,1,5.0,Case Western Reserve University,False,no_match,medium,True,0,1
TAK-071,Phase 1,Small Molecule,Symptomatic,Discontinued,1,179.0,Takeda,False,no_match,medium,True,0,1
TC-5619,Phase 1,Small Molecule,Other,Completed,1,38.0,Targacept Inc.,False,no_match,medium,True,0,1
THN 201,Phase 1,Small Molecule,Symptomatic,Completed,1,152.0,Theranexus,False,no_match,medium,True,0,1
THN391,Phase 1,Small Molecule,Other,Active,1,19.0,"Therini Bio, Inc.",False,no_match,medium,True,0,1
TML-6 Granules,Phase 1,Small Molecule,Other,Completed,1,72.0,"Merry Life Biomedical Co., Ltd.",False,no_match,medium,True,0,1
TPI-287,Phase 1,Small Molecule,Other,Completed,1,29.0,"University of California, San Francisco",False,no_match,medium,True,0,1
TRx0037,Phase 1,Small Molecule,Tau,Completed,2,31.0,TauRx Therapeutics Ltd,False,no_match,medium,True,0,2
TTP4000,Phase 1,Small Molecule,Other,Completed,1,8.0,vTv Therapeutics,False,no_match,medium,True,0,1
Trehalose,Phase 1,Small Molecule,Other,Unknown,1,20.0,Mashhad University of Medical Sciences,False,no_match,medium,True,0,1
V950,Phase 1,Biologic,Other,Completed,1,86.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,1
VG-3927,Phase 1,Small Molecule,Other,Completed,1,115.0,"Vigil Neuroscience, Inc.",False,no_match,medium,True,0,1
VT301,Phase 1,Biologic,Other,Unknown,1,12.0,VTBIO Co. LTD,False,no_match,medium,True,0,1
Valproic Acid,Phase 1,Small Molecule,Other,Completed,1,14.0,"Gregory Jicha, 323-5550",False,no_match,medium,True,0,1
[ 18F]3F4AP,Phase 1,Small Molecule,Tau,Recruiting,1,105.0,Yale University,False,no_match,medium,True,0,1
[11C]-UCB-J,Phase 1,Non-Drug/Behavioral,Other,Completed,1,19.0,"Alkermes, Inc.",False,no_match,medium,True,0,1
[11C]MK-6884,Phase 1,Small Molecule,Other,Completed,1,20.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,1
[11C]MPC6827,Phase 1,Small Molecule,Other,Completed,1,17.0,Columbia University,False,no_match,medium,True,0,1
[11C]MeS-IMPY,Phase 1,Small Molecule,Amyloid,Completed,1,30.0,National Institute of Mental Health (NIMH),False,no_match,medium,True,0,1
[123I] AV 39,Phase 1,Small Molecule,Other,Completed,1,30.0,Molecular NeuroImaging,False,no_match,medium,True,0,1
[123I] AV-151,Phase 1,Small Molecule,Amyloid,Completed,1,20.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[123I] MNI-308,Phase 1,Small Molecule,Amyloid,Discontinued,1,2.0,Molecular NeuroImaging,False,no_match,medium,True,0,1
[123I]AV94,Phase 1,Small Molecule,Other,Discontinued,1,3.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[123I]CLINDE,Phase 1,Small Molecule,Inflammation,Discontinued,1,46.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F] CFPyPB,Phase 1,Small Molecule,Other,Completed,1,4.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F] MNI-558,Phase 1,Small Molecule,Other,Completed,1,10.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F] MNI-946,Phase 1,Small Molecule,Amyloid,Completed,1,10.0,Invicro,False,no_match,medium,True,0,1
[18F] PBR06,Phase 1,Small Molecule,Inflammation,Discontinued,1,12.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F] PBR111,Phase 1,Small Molecule,Inflammation,Completed,1,11.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F]-FEPPA,Phase 1,Small Molecule,Inflammation,Completed,1,3.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F]-FMH3,Phase 1,Small Molecule,Other,Completed,1,5.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F]ACI-19626,Phase 1,Non-Drug/Behavioral,Other,Recruiting,1,45.0,AC Immune SA,False,no_match,medium,True,0,1
[18F]FPEB,Phase 1,Small Molecule,Neuropsychiatric,Completed,1,48.0,Institute for Neurodegenerative Disorders,False,no_match,medium,True,0,1
[18F]MK-3328,Phase 1,Small Molecule,Amyloid,Completed,2,20.0,Merck Sharp & Dohme LLC,False,no_match,medium,True,0,2
[18F]MNI-1020,Phase 1,Small Molecule,Tau,Completed,1,15.0,"Janssen Research & Development, LLC",False,no_match,medium,True,0,1
[18F]MNI-1126,Phase 1,Small Molecule,Other,Completed,1,12.0,Invicro,False,no_match,medium,True,0,1
[18F]MNI-815 (MNI-815),Phase 1,Small Molecule,Tau,Completed,1,7.0,Molecular NeuroImaging,False,no_match,medium,True,0,1
[18F]MNI-952,Phase 1,Small Molecule,Amyloid,Completed,1,6.0,Molecular NeuroImaging,False,no_match,medium,True,0,1
[18F]MNI-958,Phase 1,Small Molecule,Other,Completed,1,16.0,Invicro,False,no_match,medium,True,0,1
[18F]P16-129,Phase 1,Small Molecule,Other,Completed,1,14.0,"Five Eleven Pharma, Inc.",False,no_match,medium,True,0,1
[18F]RO-948,Phase 1,Small Molecule,Tau,Active,1,38.0,Washington University School of Medicine,False,no_match,medium,True,0,1
[F-18]W372,Phase 1,Small Molecule,Other,Completed,1,24.0,Siemens Molecular Imaging,False,no_match,medium,True,0,1
anle138b,Phase 1,Small Molecule,Other,Completed,2,70.0,MODAG GmbH,False,no_match,medium,True,0,2
anti-Abeta,Phase 1,Small Molecule,Amyloid,Completed,1,56.0,"Genentech, Inc.",False,no_match,medium,True,0,1
empagliflozin (Jardiance),Phase 1,Small Molecule,Metabolism,Completed,1,21.0,National Institute on Aging (NIA),False,no_match,medium,True,0,1
etanercept and repeated contrast ultrasound,Phase 1,Other,Inflammation,Recruiting,1,5.0,Fondation Ophtalmologique Adolphe de Rothschild,False,no_match,medium,True,0,1
etanercept given by perispinal administration,Phase 1,Small Molecule,Inflammation,Completed,2,30.0,"Tobinick, Edward Lewis, M.D.",False,no_match,medium,True,0,2
"grape seed polyphenolic extract, resveratrol",Phase 1,Small Molecule,Metabolism,Completed,1,14.0,Johns Hopkins University,False,no_match,medium,True,0,1
hUC-MSC-sEV-001 nasal drops,Phase 1,Small Molecule,Other,Recruiting,1,120.0,"Xuanwu Hospital, Beijing",False,no_match,medium,True,0,1
high CBD/low THC sublingual,Phase 1,Small Molecule,Other,Active,1,12.0,Mclean Hospital,False,no_match,medium,True,0,1
lorazepam,Phase 1,Small Molecule,Other,Completed,1,57.0,Mayo Clinic,False,no_match,medium,True,0,1
radioligand [11C]AZD2184,Phase 1,Small Molecule,Amyloid,Completed,1,26.0,AstraZeneca,False,no_match,medium,True,0,1
saracatinib,Phase 1,Small Molecule,Other,Completed,1,24.0,Stephen M. Strittmatter,False,no_match,medium,True,0,1
